case_id,cse_id,opened_at,closed_at,investigation_text,investigator_id,escalated,resolution,alert_ids
CAS-CSE-11-0001,CSE-11,2024-10-12 16:42:40.840819,2024-10-12 17:43:36.110059,Valid investigation for ALT-CSE-11-00004. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00004""]"
CAS-CSE-11-0002,CSE-11,2024-11-27 11:04:03.821664,2024-11-27 11:35:52.605145,Valid investigation for ALT-CSE-11-00007. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00007""]"
CAS-CSE-11-0003,CSE-11,2024-10-08 17:24:10.289621,2024-10-08 18:09:40.999498,Valid investigation for ALT-CSE-11-00008. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00008""]"
CAS-CSE-11-0004,CSE-11,2024-12-09 08:03:35.746136,2024-12-09 08:33:02.528449,Valid investigation for ALT-CSE-11-00015. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00015""]"
CAS-CSE-11-0005,CSE-11,2024-12-09 01:14:45.675554,2024-12-09 01:49:12.897962,Valid investigation for ALT-CSE-11-00016. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00016""]"
CAS-CSE-11-0006,CSE-11,2024-11-20 13:23:15.854134,2024-11-20 14:14:45.481139,Valid investigation for ALT-CSE-11-00019. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00019""]"
CAS-CSE-11-0007,CSE-11,2024-12-06 19:38:56.998622,2024-12-06 20:23:19.860174,Valid investigation for ALT-CSE-11-00021. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00021""]"
CAS-CSE-11-0008,CSE-11,2024-10-22 09:23:03.466500,2024-10-22 09:49:32.895827,Valid investigation for ALT-CSE-11-00023. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00023""]"
CAS-CSE-11-0009,CSE-11,2024-10-28 08:18:38.054164,2024-10-28 09:15:08.403011,Valid investigation for ALT-CSE-11-00029. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00029""]"
CAS-CSE-11-0010,CSE-11,2024-11-27 12:53:16.889242,2024-11-27 14:13:34.481419,Valid investigation for ALT-CSE-11-00034. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00034""]"
CAS-CSE-11-0011,CSE-11,2024-12-10 09:35:59.010749,2024-12-10 10:01:07.592187,Valid investigation for ALT-CSE-11-00040. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00040""]"
CAS-CSE-11-0012,CSE-11,2024-12-18 08:38:13.708268,2024-12-18 09:25:12.546218,Valid investigation for ALT-CSE-11-00045. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00045""]"
CAS-CSE-11-0013,CSE-11,2024-12-20 07:54:51.050199,2024-12-20 09:26:12.895315,Valid investigation for ALT-CSE-11-00046. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00046""]"
CAS-CSE-11-0014,CSE-11,2024-11-08 14:07:13.550540,2024-11-08 15:26:04.074689,Valid investigation for ALT-CSE-11-00051. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00051""]"
CAS-CSE-11-0015,CSE-11,2024-10-11 21:36:23.698445,2024-10-11 22:31:46.355596,Valid investigation for ALT-CSE-11-00052. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00052""]"
CAS-CSE-11-0016,CSE-11,2024-10-30 02:37:49.912139,2024-10-30 02:43:42.804039,Valid investigation for ALT-CSE-11-00054. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00054""]"
CAS-CSE-11-0017,CSE-11,2024-11-30 15:26:14.529740,2024-11-30 16:44:54.276134,Valid investigation for ALT-CSE-11-00057. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00057""]"
CAS-CSE-11-0018,CSE-11,2024-10-05 21:21:54.204280,2024-10-05 21:52:29.520793,Valid investigation for ALT-CSE-11-00063. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00063""]"
CAS-CSE-11-0019,CSE-11,2024-10-30 16:28:46.959507,2024-10-30 17:39:58.046244,Valid investigation for ALT-CSE-11-00069. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00069""]"
CAS-CSE-11-0020,CSE-11,2024-10-14 15:54:15.838694,2024-10-14 16:48:18.220528,Valid investigation for ALT-CSE-11-00070. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00070""]"
CAS-CSE-11-0021,CSE-11,2024-12-25 01:13:26.714741,2024-12-25 02:06:30.537293,Valid investigation for ALT-CSE-11-00071. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00071""]"
CAS-CSE-11-0022,CSE-11,2024-11-13 05:42:30.185897,2024-11-13 06:06:36.467675,Valid investigation for ALT-CSE-11-00075. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00075""]"
CAS-CSE-11-0023,CSE-11,2024-12-19 18:14:52.178591,2024-12-19 18:51:33.750675,Valid investigation for ALT-CSE-11-00081. Checked systems.,ANA-01,True,Resolved,"[""ALT-CSE-11-00081""]"
CAS-CSE-11-0024,CSE-11,2024-11-17 10:03:55.406408,2024-11-17 10:18:02.126584,Valid investigation for ALT-CSE-11-00083. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00083""]"
CAS-CSE-11-0025,CSE-11,2024-11-26 16:36:43.959385,2024-11-26 17:18:05.547564,Valid investigation for ALT-CSE-11-00090. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00090""]"
CAS-CSE-11-0026,CSE-11,2024-10-22 01:50:19.859354,2024-10-22 02:36:37.888398,Valid investigation for ALT-CSE-11-00095. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00095""]"
CAS-CSE-11-0027,CSE-11,2024-10-31 02:47:16.667976,2024-10-31 03:20:24.718235,Valid investigation for ALT-CSE-11-00096. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00096""]"
CAS-CSE-11-0028,CSE-11,2024-10-18 13:02:14.285323,2024-10-18 13:53:57.101232,Valid investigation for ALT-CSE-11-00101. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00101""]"
CAS-CSE-11-0029,CSE-11,2024-12-21 05:24:51.332921,2024-12-21 05:54:12.503866,Valid investigation for ALT-CSE-11-00103. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00103""]"
CAS-CSE-11-0030,CSE-11,2024-10-14 20:02:35.293358,2024-10-14 21:20:16.957889,Valid investigation for ALT-CSE-11-00106. Checked systems.,ANA-01,False,Resolved,"[""ALT-CSE-11-00106""]"
CAS-CSE-11-0031,CSE-11,2024-10-03 05:39:58.663573,2024-10-03 06:04:05.698383,Valid investigation for ALT-CSE-11-00109. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00109""]"
CAS-CSE-11-0032,CSE-11,2024-11-05 19:05:43.052852,2024-11-05 19:43:51.161979,Valid investigation for ALT-CSE-11-00116. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00116""]"
CAS-CSE-11-0033,CSE-11,2024-11-29 20:48:35.354524,2024-11-29 21:55:22.534832,Valid investigation for ALT-CSE-11-00120. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00120""]"
CAS-CSE-11-0034,CSE-11,2024-10-05 04:09:16.722863,2024-10-05 04:08:45.962867,Valid investigation for ALT-CSE-11-00121. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00121""]"
CAS-CSE-11-0035,CSE-11,2024-11-23 20:04:06.274879,2024-11-23 20:19:53.547544,Valid investigation for ALT-CSE-11-00128. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00128""]"
CAS-CSE-11-0036,CSE-11,2024-11-30 23:15:14.493699,2024-11-30 23:18:08.825594,Valid investigation for ALT-CSE-11-00130. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00130""]"
CAS-CSE-11-0037,CSE-11,2024-11-05 15:56:13.758943,2024-11-05 16:30:36.866792,Valid investigation for ALT-CSE-11-00142. Checked systems.,ANA-02,False,Resolved,"[""ALT-CSE-11-00142""]"
CAS-CSE-11-0038,CSE-11,2024-12-10 20:22:12.671050,2024-12-10 20:58:32.730131,Valid investigation for ALT-CSE-11-00143. Checked systems.,ANA-02,True,Resolved,"[""ALT-CSE-11-00143""]"
CAS-CSE-11-0039,CSE-11,2024-11-15 06:15:40.812987,2024-11-15 07:04:59.693457,Valid investigation for ALT-CSE-11-00146. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00146""]"
CAS-CSE-11-0040,CSE-11,2024-11-17 07:48:35.870667,2024-11-17 08:51:37.686546,Valid investigation for ALT-CSE-11-00158. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00158""]"
CAS-CSE-11-0041,CSE-11,2024-12-02 05:43:58.501545,2024-12-02 06:44:04.120073,Valid investigation for ALT-CSE-11-00163. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00163""]"
CAS-CSE-11-0042,CSE-11,2024-10-21 02:09:47.398835,2024-10-21 02:58:08.822112,Valid investigation for ALT-CSE-11-00167. Checked systems.,ANA-03,True,Resolved,"[""ALT-CSE-11-00167""]"
CAS-CSE-11-0043,CSE-11,2024-11-13 23:15:40.545850,2024-11-13 23:26:35.272977,Valid investigation for ALT-CSE-11-00168. Checked systems.,ANA-03,False,Resolved,"[""ALT-CSE-11-00168""]"
