alert_id,cse_id,severity,created_at,acknowledged_at,closed_at,status,case_id,asset_id,escalated
ALT-CSE-04-00000,CSE-04,CRITICAL,2024-11-23T23:55:01,2024-11-24T00:08:31.396712,2024-11-24T01:13:22.990892,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00001,CSE-04,LOW,2024-12-20T03:18:45,2024-12-20T03:24:57.886202,2024-12-20T04:45:48.261879,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00002,CSE-04,HIGH,2024-10-05T09:05:32,2024-10-05T09:15:53.724865,2024-10-05T09:55:26.403387,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00003,CSE-04,LOW,2024-11-20T11:23:34,2024-11-20T11:41:41.899008,2024-11-20T12:25:56.713465,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00004,CSE-04,LOW,2024-10-13T14:55:16,2024-10-13T15:03:35.155846,2024-10-13T16:31:04.677117,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00005,CSE-04,CRITICAL,2024-10-02T06:37:54,2024-10-02T06:48:42.501351,2024-10-02T08:15:54.302598,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00006,CSE-04,HIGH,2024-11-15T23:57:01,2024-11-16T00:21:32.162936,2024-11-16T01:00:55.308435,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00007,CSE-04,MEDIUM,2024-10-10T07:54:13,2024-10-10T08:16:05.104986,2024-10-10T08:44:24.449823,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00008,CSE-04,HIGH,2024-12-19T23:05:45,2024-12-19T23:15:37.591562,2024-12-20T00:04:41.595814,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00009,CSE-04,HIGH,2024-10-21T05:34:00,2024-10-21T05:39:25.100654,2024-10-21T06:58:34.767968,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00010,CSE-04,MEDIUM,2024-10-21T07:50:32,2024-10-21T07:57:53.457478,2024-10-21T09:39:13.346697,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00011,CSE-04,MEDIUM,2024-10-05T04:51:58,2024-10-05T05:09:49.197215,2024-10-05T05:59:58.402673,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00012,CSE-04,HIGH,2024-10-06T00:42:00,2024-10-06T00:53:48.834480,2024-10-06T02:18:32.186619,CLOSED,CAS-CSE-04-0001,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00013,CSE-04,MEDIUM,2024-12-15T08:48:52,2024-12-15T09:05:58.850379,2024-12-15T09:53:03.853238,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00014,CSE-04,LOW,2024-12-01T19:02:46,2024-12-01T19:21:02.970731,2024-12-01T20:43:26.785689,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00015,CSE-04,CRITICAL,2024-11-06T02:53:35,2024-11-06T03:04:11.023992,2024-11-06T03:59:09.097224,CLOSED,CAS-CSE-04-0002,DEF-PERIMETER-FW,False
ALT-CSE-04-00016,CSE-04,LOW,2024-12-18T06:34:37,2024-12-18T06:48:40.271359,2024-12-18T08:03:23.815712,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00017,CSE-04,LOW,2024-10-18T20:09:16,2024-10-18T20:31:03.594870,2024-10-18T21:05:49.684912,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00018,CSE-04,LOW,2024-12-24T18:41:02,2024-12-24T18:51:57.089356,2024-12-24T19:51:42.882210,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00019,CSE-04,CRITICAL,2024-10-28T00:21:31,2024-10-28T00:38:49.153075,2024-10-28T01:23:58.240140,CLOSED,CAS-CSE-04-0003,DEF-PERIMETER-FW,False
ALT-CSE-04-00020,CSE-04,LOW,2024-11-21T14:23:30,2024-11-21T14:41:32.709813,2024-11-21T15:30:05.314792,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00021,CSE-04,MEDIUM,2024-10-17T08:34:58,2024-10-17T08:50:05.489860,2024-10-17T10:19:14.101673,CLOSED,,WEAPON-TEST-DB,False
ALT-CSE-04-00022,CSE-04,LOW,2024-11-24T17:30:00,2024-11-24T17:50:10.806255,2024-11-24T18:34:20.507104,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00023,CSE-04,MEDIUM,2024-12-10T15:59:50,2024-12-10T16:22:20.593155,2024-12-10T17:06:30.799244,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00024,CSE-04,MEDIUM,2024-12-26T16:40:33,2024-12-26T16:53:04.203779,2024-12-26T18:18:33.939282,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00025,CSE-04,MEDIUM,2024-12-24T06:10:57,2024-12-24T06:20:24.104486,2024-12-24T06:54:20.123409,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00026,CSE-04,MEDIUM,2024-12-24T16:43:17,2024-12-24T16:49:05.643819,2024-12-24T17:47:40.311854,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00027,CSE-04,LOW,2024-11-05T10:52:22,2024-11-05T11:14:06.409984,2024-11-05T12:25:20.379968,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00028,CSE-04,HIGH,2024-11-07T20:31:52,2024-11-07T20:56:22.856929,2024-11-07T22:15:30.403058,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00029,CSE-04,LOW,2024-12-07T00:08:12,2024-12-07T00:23:17.326645,2024-12-07T01:38:43.982185,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00030,CSE-04,MEDIUM,2024-11-16T01:48:59,2024-11-16T02:11:23.140629,2024-11-16T02:47:19.607562,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00031,CSE-04,LOW,2024-11-11T02:29:00,2024-11-11T02:52:24.403047,2024-11-11T03:34:28.603997,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00032,CSE-04,MEDIUM,2024-10-02T07:46:18,2024-10-02T07:59:14.946314,2024-10-02T08:43:21.187430,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00033,CSE-04,HIGH,2024-10-06T09:44:21,2024-10-06T09:57:47.913977,2024-10-06T11:22:00.134352,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00034,CSE-04,MEDIUM,2024-10-18T19:59:40,2024-10-18T20:10:16.840676,2024-10-18T21:20:35.495577,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00035,CSE-04,HIGH,2024-11-11T01:52:59,2024-11-11T02:09:59.725199,2024-11-11T02:45:02.002357,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00036,CSE-04,HIGH,2024-11-21T03:33:46,2024-11-21T03:42:53.442615,2024-11-21T04:48:31.871545,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00037,CSE-04,HIGH,2024-11-18T12:29:31,2024-11-18T12:49:15.237518,2024-11-18T13:25:09.222962,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00038,CSE-04,LOW,2024-11-22T05:06:22,2024-11-22T05:30:13.726457,2024-11-22T06:19:49.036123,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00039,CSE-04,HIGH,2024-11-02T12:06:28,2024-11-02T12:12:11.853636,2024-11-02T13:09:26.561559,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00040,CSE-04,LOW,2024-12-04T09:25:10,2024-12-04T09:43:26.256683,2024-12-04T11:09:36.586588,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00041,CSE-04,MEDIUM,2024-11-19T15:18:05,2024-11-19T15:40:00.269482,2024-11-19T16:24:49.724478,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00042,CSE-04,LOW,2024-12-04T21:42:31,2024-12-04T22:06:39.451907,2024-12-04T23:22:25.265147,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00043,CSE-04,LOW,2024-10-20T18:41:07,2024-10-20T19:03:09.344238,2024-10-20T20:22:28.168268,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00044,CSE-04,HIGH,2024-12-15T17:42:51,2024-12-15T17:56:28.246944,2024-12-15T18:35:21.075062,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00045,CSE-04,HIGH,2024-11-07T14:25:51,2024-11-07T14:45:48.340375,2024-11-07T15:29:24.841594,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00046,CSE-04,MEDIUM,2024-11-06T16:28:57,2024-11-06T16:52:12.520625,2024-11-06T18:03:16.375548,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00047,CSE-04,MEDIUM,2024-11-18T01:00:29,2024-11-18T01:20:38.316029,2024-11-18T02:45:22.700311,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00048,CSE-04,MEDIUM,2024-10-08T07:10:52,2024-10-08T07:34:43.077325,2024-10-08T08:23:02.055482,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00049,CSE-04,LOW,2024-11-15T14:13:18,2024-11-15T14:30:52.470349,2024-11-15T15:22:28.031572,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00050,CSE-04,HIGH,2024-12-09T06:17:26,2024-12-09T06:35:37.087148,2024-12-09T08:05:00.991282,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00051,CSE-04,MEDIUM,2024-10-25T18:36:11,2024-10-25T18:57:28.359914,2024-10-25T19:39:56.284762,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00052,CSE-04,MEDIUM,2024-10-09T11:31:25,2024-10-09T11:45:31.484051,2024-10-09T12:30:22.713223,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00053,CSE-04,HIGH,2024-11-21T00:04:00,2024-11-21T00:21:43.589726,2024-11-21T00:45:48.335223,CLOSED,,RESEARCH-WORKSTATION-01,False
ALT-CSE-04-00054,CSE-04,MEDIUM,2024-12-18T07:42:18,2024-12-18T07:48:43.200557,2024-12-18T09:01:38.112488,CLOSED,,DEF-PERIMETER-FW,False
ALT-CSE-04-00055,CSE-04,CRITICAL,2024-12-01T08:40:24,2024-12-01T08:50:10.802796,2024-12-01T09:28:30.653068,CLOSED,CAS-CSE-04-0004,RESEARCH-WORKSTATION-01,True
ALT-CSE-04-00056,CSE-04,MEDIUM,2024-12-21T01:33:30,2024-12-21T01:51:53.394360,2024-12-21T02:50:47.738699,CLOSED,,DEF-PERIMETER-FW,False
